,Train_mse,Validation_mse
0,0.5906605922950888,0.23609153926372528
1,0.08554318040732364,0.21902825435002643
2,0.055333364965780736,0.20393077284097672
3,0.05467349224073706,0.21193567911783853
4,0.05427316537583775,0.19075985377033552
5,0.05350813348689732,0.20249384144941965
6,0.05293897732670577,0.19021548703312874
7,0.05213187627916066,0.18858817095557848
8,0.05172527458448454,0.19489258279403052
9,0.05148335966228877,0.17962646608551341
10,0.050016376330464525,0.17977039764324826
11,0.050552778648880276,0.18440610418717066
12,0.050771617840202336,0.18009308849771818
13,0.04989335845874729,0.180587121595939
14,0.049614989216316435,0.18104694659511247
15,0.05005452045643668,0.18411099662383398
16,0.049586181862736646,0.1810660113890966
17,0.05031073423770239,0.17957219978173575
18,0.05072911521244162,0.17659776161114374
19,0.05064181842893924,0.17966141551733017
20,0.04978395875473068,0.17936312034726146
21,0.049522438894887014,0.17928886786103249
22,0.04965372148128052,0.18422706052660945
23,0.049524121390620506,0.17973715191086131
24,0.050297672983329246,0.1809796616435051
25,0.04928247363499874,0.17759328335523605
26,0.049305834649306414,0.18002796669801077
27,0.051097441534951056,0.1844042738278707
28,0.0506124893941407,0.18270695706208548
29,0.04989043916663471,0.18179659669597945
